107
0 1 3 4 7 66 68 114 115 123 125 127 128 129 130 131 132 133 134 135 137 139 200 202 206 207 208 209 215 216 217 219 218 220 231 232 798 800 801 802 804 808 869 871 872 873 874 877 878 880 882 884 885 1160 1162 1166 1168 1172 1175 1217 1218 1219 1220 1223 1224 1225 1227 1412 1646 1648 1658 1660 1661 1663 1664 1668 1670 1673 1675 1729 1730 1770 1732 1733 1734 1735 1773 2279 2281 2282 2294 2297 2299 2319 2333 2480 2487 2488 2716 3076 3077 3094 3100 3101 3104 3247 3253
17 1 0 2 3 8 7 9 5 4 6 10 11 ; 0 3 4 1 2 5 6 8 7
14 1 0 2 3 8 7 9 5 4 6 10 11 ; 0 3 4 1 2 5 6 8 7
15 1 0 2 3 7 9 8 5 4 6 10 11 ; 0 3 4 1 2 5 6 8 7
9 2 0 1 4 3 5 6 8 7 10 11 9 ; 1 3 5 0 2 4 6 7 8
9 2 0 1 4 3 8 7 5 6 10 11 9 ; 1 3 5 0 2 4 6 8 7
22 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
22 1 0 2 4 3 5 6 8 7 10 11 9 ; 0 3 4 1 2 5 6 7 8
23 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
22 0 1 2 3 4 8 7 5 6 9 11 10 ; 0 1 2 3 4 5 6 8 7
22 1 0 2 4 3 8 7 5 6 10 11 9 ; 0 3 4 1 2 5 6 8 7
23 0 1 2 3 4 8 7 5 6 9 10 11 ; 0 1 2 3 4 5 6 8 7
24 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
25 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
26 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
27 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
25 0 1 2 3 4 7 8 5 6 9 11 10 ; 0 1 2 3 4 5 6 8 7
24 0 1 2 3 4 8 7 5 6 9 11 10 ; 0 1 2 3 4 5 6 8 7
26 0 1 2 3 4 8 7 5 6 9 10 11 ; 0 1 2 3 4 5 6 8 7
27 0 1 2 3 4 8 7 5 6 9 10 11 ; 0 1 2 3 4 5 6 8 7
26 1 2 0 5 3 4 6 11 10 9 8 7 ; 3 0 4 1 5 2 7 6 8
28 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
29 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
30 0 1 2 3 4 5 6 7 8 9 10 11 ; 0 1 2 3 4 5 6 7 8
